mission,obj_id,star_id,label_raw,period_days,epoch_bjd,dur_hrs,depth_ppm,rp_re,teq_k,st_teff_k,st_logg_cgs,st_rad_rsun,st_mass_msun,label
tess,1191.01,237185205,FP,15.7335693,2459441.423236,3.288,2540.0,24.3218,1219.0,6800.0,3.91,2.21,,0
tess,1192.01,158276040,APC,45.9403293,2460524.90576,3.768,14807.0,28.3312,,6479.3,,1.28,,0
tess,1193.01,89643259,FP,2.2219839,2460337.368138,1.996,4394.0,15.4416,,7166.8,,1.87,,0
tess,1194.01,147950620,CP,2.3106428,2460367.07216,1.294,6911.0,8.76741,1052.0,5339.9,4.41,0.99,,1
tess,1195.01,24364065,FP,4.05135,2458686.84696,2.4,1132.23,14.2359,,4974.4,,3.85,,0
tess,1196.01,69068526,PC,5.5376617,2459785.498161,2.517,5390.0,15.6557,1206.0,6689.0,3.96,2.06,,1
tess,1197.01,92677094,PC,4.5960377,2459787.132209,4.744,5000.0,16.2166,1937.0,7649.0,4.04,2.12,,1
tess,1198.01,203189770,KP,3.612771,2460551.040398,4.142,11794.0,19.3662,2344.0,8324.0,4.28,1.71,,1
tess,1199.01,99869022,CP,3.6714717,2460360.434669,2.149,4340.0,10.678,1182.0,5618.0,4.06,1.54,,1
tess,120.01,394137592,CP,11.535076,2458332.082805,8.555958,2389.90616,12.215808,,5479.3,3.77,2.48771,,1
tess,1200.01,288185138,FP,0.8352406,2460365.995576,1.043,2065.0,6.4875,2345.0,6105.0,4.31,1.24,,0
tess,1201.01,29960110,CP,2.4919771,2458411.670877,1.4338141,2093.9594201,2.2187585,639.9817426,3948.0,4.68962,0.482388,,1
tess,1202.01,327017634,FP,,2458614.434411,2.726775,878.134108,1.710706,448.0162269,3773.0,4.438,0.577983,,0
tess,1203.01,23434737,CP,25.5195307,2458553.062116,6.6877451,558.3758637,2.9641461,662.8890748,5742.22,4.29,1.17321,,1
tess,1204.01,467666275,PC,1.3812115,2458569.940999,2.7372191,117.7553083,2.2402361,2222.614552,6711.0,4.06358,1.7756799,,1
tess,1205.01,287776397,PC,2.3922703,2458383.241223,9.0053425,63.575141,3.5905923,2954.822621,6090.0,3.29864,4.1956,,1
tess,1139.01,202563254,PC,4.4780798,2460549.445856,4.513,1054.0,11.3678,3715.0,7947.0,4.2,1.83,,1
tess,114.01,25155310,KP,3.2887898,2458327.519958,3.4367717,7005.7247902,10.5135877,1338.8392647,5800.0,4.28004,1.24175,,1
tess,1140.01,320525204,FP,13.7431084,2460637.861679,2.285,5688.0,12.05,844.0,5941.5,,1.34,,0
tess,1141.01,159510109,FP,16.9487087,2460289.874408,4.2887767,156467.5479643,45.2204505,758.5937679,5894.7,4.37,1.1179,,0
tess,1142.01,284450803,FP,3.3686634,2460335.937572,3.012,3288.0,42.2321,2775.0,7518.0,3.82,2.68,,0
tess,1143.01,160268701,FP,11.2071839,2460352.734057,4.366,3276.0,17.4989,1487.0,6152.0,3.84,2.24,,0
tess,1144.01,28230919,KP,4.8878037,2460554.347022,2.184,4279.0,5.29152,810.0,4757.3,4.56,0.76,,1
