mission,obj_id,star_id,label_raw,period_days,epoch_bjd,dur_hrs,depth_ppm,rp_re,teq_k,st_teff_k,st_logg_cgs,st_rad_rsun,st_mass_msun,label
kepler,K07777.01,6369845,FALSE POSITIVE,27.6760342,2454977.9833,4.234,266.8,5.15,951.0,5123.0,3.442,3.224,1.051,0.0
kepler,K03429.02,9230021,CONFIRMED,8.74192361,2454968.42727,4.235,295.7,1.94,924.0,5596.0,4.298,1.145,0.95,1.0
kepler,K03429.03,9230021,FALSE POSITIVE,26.936878,2454990.7573,4.969,246.9,1.57,617.0,5878.0,4.442,0.998,1.003,0.0
kepler,K00302.02,3662838,FALSE POSITIVE,53.34418038,2455003.0739545,3.62,,,,,,,,0.0
kepler,K03499.01,5471688,FALSE POSITIVE,12.4281308,2454974.4385,6.79,131.4,0.85,715.0,5940.0,4.621,0.729,0.819,0.0
kepler,K01792.03,8552719,CONFIRMED,9.10969334,2454966.06566,5.3181,126.4,1.32,873.0,5611.0,4.388,1.073,1.026,1.0
kepler,K03499.02,5471688,FALSE POSITIVE,0.96283264,2454965.20087,2.947,96.3,0.74,1686.0,5955.0,4.617,0.733,0.811,0.0
kepler,K03500.01,6058816,CONFIRMED,73.7502765,2455021.52221,13.309,233.1,3.78,677.0,6056.0,3.797,2.481,1.408,1.0
kepler,K03583.01,5130740,FALSE POSITIVE,210.30644361,2455118.127394,6.68665,46455.4,101.13,525.0,7591.0,4.05,2.017,1.665,0.0
kepler,K03584.01,9892471,FALSE POSITIVE,8.268081087,2454968.0563298,3.47103,71479.3,50.31,863.0,5749.0,4.502,0.922,0.987,0.0
kepler,K03585.01,2019076,FALSE POSITIVE,3.564614021,2454964.86235,3.44204,94342.0,46.0,1187.0,5891.0,4.45,0.892,0.818,0.0
kepler,K07745.01,5879448,FALSE POSITIVE,533.47707,2455078.3651,23.71,210.6,2.6,315.0,6077.0,3.931,1.759,0.964,0.0
kepler,K03586.01,7376490,FALSE POSITIVE,5.877122413,2454969.420718,3.7369,15647.1,45.95,1061.0,5778.0,4.325,1.043,0.839,0.0
kepler,K03587.01,11968513,FALSE POSITIVE,1.036592635,2454965.089146,2.40749,124498.0,463.05,4194.0,4884.0,2.737,8.747,1.522,0.0
kepler,K03360.01,7866921,FALSE POSITIVE,91.4999978,2455015.769045,19.5818,65496.0,21.86,335.0,5263.0,4.572,0.774,0.816,0.0
kepler,K03361.01,6619815,CONFIRMED,65.9407869,2455064.97155,7.776,580.4,2.33,454.0,5982.0,4.493,0.96,1.047,1.0
kepler,K07763.01,6113752,FALSE POSITIVE,406.45737,2455063.8834,9.554,284.2,1.96,278.0,6217.0,4.364,1.141,1.095,0.0
kepler,K03362.01,3098197,FALSE POSITIVE,30.47639859,2454989.24007,17.9728,130569.0,43.01,542.0,5913.0,4.585,0.787,0.874,0.0
kepler,K03363.01,11651712,CONFIRMED,14.53260546,2454973.4685,2.4212,328.9,1.69,746.0,6003.0,4.507,0.932,1.019,1.0
kepler,K01718.02,9896558,CONFIRMED,153.348739,2455023.5347,12.205,388.0,2.14,377.0,6127.0,4.356,1.08,0.964,1.0
kepler,K07808.01,7045605,FALSE POSITIVE,361.526458,2455172.3304,6.947,525.1,5.7,410.0,7196.0,4.064,1.923,1.562,0.0
kepler,K03432.01,8738775,CONFIRMED,48.0506878,2454973.514,7.999,274.5,2.36,564.0,5332.0,4.083,1.453,0.932,1.0
kepler,K03816.01,7877818,FALSE POSITIVE,9.44942628,2454965.45174,6.3064,1211.9,75.22,1192.0,5092.0,3.689,2.664,1.265,0.0
kepler,K03817.01,5636642,FALSE POSITIVE,0.933489066,2454965.101834,1.41864,14259.0,48.01,1979.0,5758.0,4.307,1.084,0.869,0.0
kepler,K03818.01,6515722,FALSE POSITIVE,1.908525084,2454964.77571,4.169,218.9,3.74,3191.0,9174.0,4.013,2.471,2.294,0.0
kepler,K07788.01,6679504,FALSE POSITIVE,0.798467681,2454965.04627,0.86,120.7,0.82,1718.0,5575.0,4.557,0.733,0.706,0.0
kepler,K03819.01,5560831,FALSE POSITIVE,0.867721348,2454965.161646,4.8783,97653.0,67.0,2089.0,5510.0,4.186,1.276,0.911,0.0
kepler,K03820.01,5305404,FALSE POSITIVE,161.252567,2455022.10238,23.626,2911.5,5.04,318.0,5985.0,4.574,0.811,0.91,0.0
kepler,K03893.01,3728432,CONFIRMED,3.90863457,2454966.92971,1.7704,867.2,1.86,787.0,4518.0,4.613,0.653,0.639,1.0
kepler,K02092.03,6696580,CONFIRMED,77.086191,2455035.7483,4.77,942.8,29.77,464.0,6228.0,4.441,1.049,1.107,1.0
kepler,K03894.01,5473535,FALSE POSITIVE,1.673662758,2454964.67166,2.3135,316.4,23.42,1729.0,6444.0,4.433,1.053,1.094,0.0
kepler,K03895.01,12106934,FALSE POSITIVE,5.93717724,2454968.95682,5.355,25450.0,594.32,1005.0,5780.0,4.438,1.0,1.0,0.0
kepler,K03896.01,6222898,FALSE POSITIVE,3.89043062,2454965.7665,6.596,195.4,1.24,1106.0,5646.0,4.449,0.896,0.825,0.0
kepler,K03897.01,3955866,FALSE POSITIVE,16.8282542,2455129.233,39.098,655.3,2.66,668.0,5575.0,4.496,0.972,1.08,0.0
kepler,K03667.01,11200767,FALSE POSITIVE,2.489549075,2454965.045037,2.4345,2829.7,59.57,1708.0,6184.0,4.138,1.406,0.991,0.0
kepler,K01955.03,9892816,CONFIRMED,1.644221032,2454964.75241,2.9122,47.8,1.18,1897.0,6297.0,4.26,1.369,1.247,1.0
kepler,K03668.01,8589731,FALSE POSITIVE,4.469731089,2454966.011683,5.257,3159.6,84.63,1614.0,5758.0,3.808,2.318,1.258,0.0
kepler,K03669.01,4356766,FALSE POSITIVE,1.731803197,2454965.887574,5.6803,44612.0,22.87,1526.0,5761.0,4.426,1.029,1.031,0.0
kepler,K03670.01,2167890,FALSE POSITIVE,2.64830047,2454966.034879,2.6395,12668.0,126.54,3042.0,4839.0,2.761,9.278,1.808,0.0
kepler,K02011.02,5384079,CONFIRMED,17.2653659,2454968.3549,5.02,67.9,1.16,888.0,6388.0,4.244,1.402,1.259,1.0
kepler,K03743.01,4935914,FALSE POSITIVE,3.486318703,2454967.87329,2.7904,60135.0,54.53,1201.0,5780.0,4.438,1.0,1.0,0.0
kepler,K03744.01,11303811,FALSE POSITIVE,1.705780649,2454966.15662,1.6271,15498.0,25.95,1101.0,4970.0,4.665,0.591,0.589,0.0
kepler,K03745.01,2437783,FALSE POSITIVE,7.45306683,2454964.76434,4.7617,46552.0,1044.28,932.0,5780.0,4.438,1.0,1.0,0.0
kepler,K03746.01,12062660,FALSE POSITIVE,2.929299629,2454966.71721,7.102,83918.0,51.67,1272.0,5780.0,4.438,1.0,1.0,0.0
kepler,K03747.01,9777087,FALSE POSITIVE,5.50811352,2454967.32603,2.9516,40380.0,34.03,778.0,5188.0,4.687,0.624,0.689,0.0
kepler,K03821.01,5956776,FALSE POSITIVE,0.569115097,2454965.020841,3.5028,585597.0,156.15,3357.0,7174.0,4.13,1.705,1.43,0.0
