kepid,kepoi_name,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,koi_smass
8874090,K01404.02,CANDIDATE,18.9060921,140.82932,4.125,375.6,0.87,336.0,3751.0,4.813,0.45,0.479
8331612,K03318.02,CANDIDATE,25.6970688,144.2286,3.739,835.0,3.83,658.0,6020.0,4.403,1.057,1.03
5185765,K07720.01,FALSE POSITIVE,46.9434911,176.32544,1.368,100.7,1.57,669.0,6253.0,4.102,1.55,1.107
5965819,K03319.01,CONFIRMED,19.5906103,144.65969,6.745,297.0,2.64,819.0,5794.0,4.118,1.496,1.072
5965819,K03319.02,CONFIRMED,8.23983041,137.75528,5.619,251.0,2.35,1093.0,5794.0,4.118,1.496,1.072
8328916,K04790.01,CANDIDATE,6.07855,132.5345,3.408,102.7,1.14,1115.0,6119.0,4.346,1.114,1.003
11294883,K04791.01,FALSE POSITIVE,427.65334,136.2622,11.17,157.1,1.97,284.0,5325.0,4.004,1.565,0.9
3832474,K00806.05,FALSE POSITIVE,412.041857,354.8569,5.572,1959.0,3.77,217.0,5485.0,4.556,0.867,0.986
10155029,K03208.01,CANDIDATE,2.131660527,133.13431,1.8585,32.2,0.56,1438.0,5849.0,4.426,0.997,0.967
11618569,K04792.01,CANDIDATE,5.75902182,132.16301,2.687,70.8,0.91,1112.0,6247.0,4.433,1.066,1.122
11973517,K04862.01,CANDIDATE,0.903763067,131.51926,0.562,267.5,1.08,1254.0,4430.0,4.616,0.651,0.638
5471566,K04863.01,FALSE POSITIVE,0.9628348,132.1907,2.259,92.8,0.81,1648.0,5559.0,4.554,0.838,0.917
7345248,K04864.01,CANDIDATE,5.66494448,136.33835,4.173,46.0,0.78,1134.0,5888.0,4.269,1.13,0.865
5814013,K04865.01,FALSE POSITIVE,1.57017249,132.1034,2.257,158.4,0.82,1232.0,5300.0,4.66,0.66,0.731
7117355,K04866.01,FALSE POSITIVE,0.566798364,131.81891,3.172,38.6,0.66,2272.0,5864.0,4.411,1.04,1.014
5653072,K03252.01,FALSE POSITIVE,3.22452656,132.50118,5.156,57.5,24.48,4883.0,3857.0,1.338,34.674,0.954
2707985,K03253.01,FALSE POSITIVE,1.89127438,132.68059,4.491,32.3,2.03,3342.0,7919.0,3.663,3.46,2.01
9899141,K03254.01,FALSE POSITIVE,1.33256944,132.05502,3.89,20.6,0.46,1624.0,5655.0,4.431,0.998,0.979
8183288,K03255.01,CONFIRMED,66.6504521,171.18229,5.744,536.9,1.56,308.0,4550.0,4.627,0.679,0.713
11305996,K03256.01,FALSE POSITIVE,55.7002642,152.6957,4.285,332.7,1.18,309.0,4267.0,4.608,0.67,0.662
5965819,K03319.03,CONFIRMED,3.54553077,132.37486,4.143,119.2,1.62,1448.0,5794.0,4.118,1.496,1.072
6690171,K03320.01,CANDIDATE,85.0624157,149.220739,4.6964,41901.0,21.26,355.0,5223.0,4.52,0.875,0.923
6859801,K03321.01,FALSE POSITIVE,10.882416555,132.677164,5.4674,16629.5,29.69,632.0,4946.0,4.57,0.715,0.694
7767733,K03322.01,FALSE POSITIVE,25.19830439,142.2240343,5.1942,73834.2,46.14,604.0,5955.0,4.534,0.883,0.972
5193659,K03323.01,CANDIDATE,14.3196417,134.16323,3.781,215.5,2.06,850.0,5562.0,4.151,1.373,0.973
5201593,K07721.01,FALSE POSITIVE,0.50727675,131.77681,2.32,214.7,1.7,2449.0,5970.0,4.399,1.143,1.195
6220312,K04793.01,CANDIDATE,5.2736268,135.6461,5.291,86.1,0.89,1014.0,5851.0,4.515,0.918,1.007
6358937,K04794.01,CANDIDATE,24.5041103,140.1805,6.065,119.5,1.03,574.0,5250.0,4.404,0.962,0.854
9007609,K04795.01,FALSE POSITIVE,1.316398648,132.2998,1.169,182.5,1.09,1374.0,5088.0,4.508,0.806,0.763
11038580,K04796.01,FALSE POSITIVE,419.4596,275.458,13.53,131.8,2.1,303.0,5248.0,3.886,1.869,0.98
7771181,K04797.01,CANDIDATE,9.97202023,137.71181,1.425,329.7,1.26,627.0,4810.0,4.584,0.696,0.677
9509223,K04867.01,FALSE POSITIVE,14.2005007,135.7279,5.232,80.6,13.28,843.0,6332.0,4.406,1.065,1.048
6720773,K04868.01,FALSE POSITIVE,1.318347743,132.7886,0.871,113.2,1.23,1861.0,6143.0,4.351,1.121,1.025
8056651,K04869.01,FALSE POSITIVE,5.5834987,132.562,2.484,87.4,1.41,1317.0,6517.0,4.241,1.375,1.203
4665991,K04870.01,FALSE POSITIVE,1.12401084,131.64952,3.052,43.6,0.61,1719.0,5941.0,4.519,0.911,1.001
10191036,K03218.01,FALSE POSITIVE,1.21374652,131.735,3.371,28.9,0.59,1880.0,6238.0,4.407,1.049,1.022
8280511,K01151.03,CONFIRMED,5.24970432,135.46911,2.746,61.9,0.67,954.0,5528.0,4.499,0.853,0.838
10420301,K03257.01,FALSE POSITIVE,45.4333769,172.93877,6.351,905.8,2.23,315.0,4371.0,4.712,0.559,0.587
4366323,K03258.01,CANDIDATE,40.3511707,153.40933,3.97,533.5,1.88,479.0,5665.0,4.568,0.82,0.916
2853029,K03259.01,CANDIDATE,72.9332762,198.11468,3.829,770.4,2.45,389.0,5316.0,4.47,0.902,0.875
12156174,K03260.01,CONFIRMED,56.6746666,160.44836,5.516,883.1,4.01,522.0,5541.0,4.189,1.295,0.945
4634135,K03328.01,FALSE POSITIVE,63.9005941,189.47344,8.2789,17097.0,25.91,353.0,5204.0,4.63,0.634,0.624
6955671,K03329.01,CANDIDATE,12.6878176,136.1525,4.262,293.0,2.16,851.0,6258.0,4.442,1.046,1.102
5097856,K07716.01,CANDIDATE,483.36405,483.0784,15.61,285.4,1.27,202.0,5700.0,4.626,0.718,0.806
4736644,K03330.01,CONFIRMED,16.2951259,144.80425,3.678,197.9,1.15,574.0,4915.0,4.512,0.812,0.781
5876805,K03331.01,FALSE POSITIVE,18.173045009,355.230984,10.9113,69911.3,24.39,650.0,5799.0,4.548,0.86,0.955
5818068,K03332.01,FALSE POSITIVE,14.12678065,137.90377,5.9303,7647.4,31.13,670.0,5656.0,4.583,0.784,0.873
10139390,K04798.01,FALSE POSITIVE,358.56462,151.8698,11.64,170.2,0.99,219.0,5375.0,4.531,0.752,0.7
8278073,K04799.01,CANDIDATE,12.0729757,142.429,3.783,99.5,1.69,969.0,5436.0,3.993,1.707,1.046
5273713,K07722.01,FALSE POSITIVE,1.337561836,132.14597,1.575,41.0,1.11,2322.0,6406.0,4.056,1.715,1.219
3526331,K04800.01,FALSE POSITIVE,2.23755641,133.0574,2.089,101.1,0.93,1397.0,6026.0,4.505,0.924,0.995
10810859,K04801.01,CANDIDATE,82.401274,140.6557,6.48,430.7,2.21,421.0,5886.0,4.472,1.0,1.083
7017274,K03209.01,CANDIDATE,11.91256675,143.15988,6.126,123.1,2.61,1242.0,6337.0,3.893,2.335,1.556
6767227,K04871.01,CANDIDATE,4.08197713,132.10953,2.943,26.2,0.6,1372.0,6538.0,4.339,1.156,1.061
11496490,K04872.01,FALSE POSITIVE,1.035268597,131.73249,0.5663,112.2,1.34,2136.0,6332.0,4.311,1.205,1.08
1430305,K04873.01,FALSE POSITIVE,359.3259,431.3267,9.836,246.2,3.6,410.0,6570.0,3.902,2.27,1.5
